X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
265088.73223241686,6415704.691605547,Fault_331,-6937,119,76.15516581675729
275567.33167899866,6446556.580742149,Fault_338,3934,490.7646838061598,10.774176807299774
276652.9656076127,6446342.252114356,Fault_338,3107,425,190.77417680729977
290027.93436030677,6440216.269880479,Fault_341,1604,34,152.39641084913688
298180.9641939056,6442359.478815643,Fault_343,10,1,82.93835061666762
300755.81106261717,6444415.95101889,Fault_344,9,1,263.12176844190617
253489.71063744367,6423914.4779197965,Fault_334,1,1,1
253530.8329617298,6425729.586981943,Fault_334,1,1,1
251200.0896936368,6417473.343752993,Fault_334,1,1,1
256499.43317793935,6430461.736525597,Fault_546,1,1,1
255043.2782027101,6428600.656730795,Fault_546,1,1,1
259588.80679035583,6433444.23841219,Fault_546,1,1,1
