X,Y,id,left_fm,right_fm,min_offset,strat_offset
253510.2717995867,6424822.03245087,Fault_334,Wilpena_Group,Umberatana_Group,104.0,002
253258.49644772423,6423122.289235984,Fault_334,Wilpena_Group,Wilpena_Group,0.0,000
252113.68597582082,6419901.722152582,Fault_334,Wilpena_Group,Wilpena_Group,0.0,000
255380.09715924686,6428904.570913858,Fault_546,Umberatana_Group,ABC_Range_Quartzite,474.0,003
256006.51658895836,6429513.547821807,Fault_546,Umberatana_Group,ABC_Range_Quartzite,474.0,003
256345.69433883368,6429975.432314554,Fault_546,Umberatana_Group,ABC_Range_Quartzite,474.0,003
256447.3523967368,6430296.995304007,Fault_546,Yerelina_Subgroup,ABC_Range_Quartzite,370.0,002
256672.69648277044,6431009.799824985,Fault_546,Wilpena_Group,ABC_Range_Quartzite,0.0,001
256963.57549437764,6431728.769509712,Fault_546,Wilpena_Group,ABC_Range_Quartzite,0.0,001
257589.79601564893,6432286.676002558,Fault_546,Wilpena_Group,ABC_Range_Quartzite,0.0,001
258712.82915016444,6432976.383415589,Fault_546,Wilpena_Group,ABC_Range_Quartzite,0.0,001
259458.03213027035,6433361.664566651,Fault_546,ABC_Range_Quartzite,ABC_Range_Quartzite,0.0,000
265666.7200113255,6414078.758424999,Fault_331,Unnamed_GIS_Unit___see_description,Unnamed_GIS_Unit___see_description,-1,000
264578.6964940635,6417586.266199257,Fault_331,Umberatana_Group,Yudnamutana_Subgroup,0.0,001
263614.7553180924,6421119.273830497,Fault_331,Umberatana_Group,Unnamed_GIS_Unit___see_description,-1,004
263280.89231618505,6422824.651166863,Fault_331,Umberatana_Group,Umberatana_Group,0.0,000
263251.3486287445,6423968.96582116,Fault_331,Umberatana_Group,Yudnamutana_Subgroup,0.0,001
271051.914840768,6447411.875490025,Fault_338,Burra_Group,Burra_Group,0.0,000
272478.198291557,6447135.092332317,Fault_338,Burra_Group,Unnamed_GIS_Unit___see_description,-1,001
274195.0873164992,6446791.747576779,Fault_338,Burra_Group,Umberatana_Group,345.0,003
275246.76362445514,6446607.627488548,Fault_338,Burra_Group,Yudnamutana_Subgroup,167.0,002
275638.7547943999,6446539.000437237,Fault_338,Unnamed_GIS_Unit___see_description,Yudnamutana_Subgroup,-1,003
276158.5418024661,6446442.555799408,Fault_338,Unnamed_GIS_Unit___see_description,Emeroo_Subgroup,-1,002
276903.9530464956,6446240.210875187,Fault_338,Umberatana_Group,Emeroo_Subgroup,178.0,002
277481.26908986596,6446092.089726641,Fault_338,Umberatana_Group,Yudnamutana_Subgroup,0.0,001
278024.44769553,6446037.21409304,Fault_338,Umberatana_Group,Umberatana_Group,0.0,000
294028.5609444315,6442068.123257325,Fault_341,Emeroo_Subgroup,Emeroo_Subgroup,0.0,000
293198.4333961446,6441108.247467972,Fault_341,Emeroo_Subgroup,Emeroo_Subgroup,0.0,000
292245.9313623037,6440755.685338156,Fault_341,Emeroo_Subgroup,Emeroo_Subgroup,0.0,000
290918.67878417217,6440431.748588573,Fault_341,Emeroo_Subgroup,Burra_Group,0.0,001
289802.0515725563,6440227.718087399,Fault_341,Burra_Group,Burra_Group,0.0,000
297901.6324457228,6444319.123365606,Fault_343,Emeroo_Subgroup,Emeroo_Subgroup,0.0,000
298238.005355021,6441603.74320331,Fault_343,Burra_Group,Burra_Group,0.0,000
300473.4831533497,6446735.4376527285,Fault_344,Emeroo_Subgroup,Emeroo_Subgroup,0.0,000
300812.0747669134,6443928.526158968,Fault_344,Burra_Group,Burra_Group,0.0,000
