X,Y,Z,azimuth,dip,polarity,formation
257766.72036254444,6456966.805898331,421.61057740123505,120,50,1,Umberatana_Group
256453.08385483554,6457632.902248731,411.5107809592294,100,70,0,Yerelina_Subgroup
254485.82629325957,6457412.807604319,421.9349617636443,90,65,1,Wilpena_Group
253525.03962672653,6457622.448119596,400.3849120718214,345,8,1,Unnamed_GIS_Unit___see_description
278725.93718705955,6457400.556810571,557.4130239422478,125,2,1,Unnamed_GIS_Unit___see_description
278469.95001046,6457491.186430197,564.7458665781475,80,35,1,Umberatana_Group
278342.4104559626,6457504.614801366,567.5517245424002,50,18,1,Umberatana_Group
278445.5915490772,6457629.105524385,564.005719039735,280,42,1,Umberatana_Group
278479.0268025957,6457839.721125774,555.3115673417128,70,52,1,Umberatana_Group
278123.79113418626,6457763.449664934,567.9587412787665,350,6,1,Umberatana_Group
277979.18484162877,6457978.961063796,565.7292847341739,155,8,1,Umberatana_Group
277972.43448434677,6458224.204578079,553.8948420130002,195,15,1,Umberatana_Group
279535.0578194265,6457712.149854178,545.8263498490712,205,15,1,Unnamed_GIS_Unit___see_description
279678.5612093375,6458006.006946407,540.7488014839146,150,4,1,Unnamed_GIS_Unit___see_description
276106.1080433255,6458297.05645564,513.0752000039399,295,53,1,Unnamed_GIS_Unit___see_description
276388.44039437396,6458322.3235835545,541.0378901887493,145,48,1,Unnamed_GIS_Unit___see_description
276689.95875213435,6458257.14497566,551.3606731500435,255,11,1,Unnamed_GIS_Unit___see_description
276925.98033996054,6458065.1686478425,546.2536462763439,115,8,1,Unnamed_GIS_Unit___see_description
277013.5458598563,6457782.972103389,541.1651424074897,170,8,1,Unnamed_GIS_Unit___see_description
276913.31829163176,6457567.2291976055,539.1392065349714,105,5,1,Unnamed_GIS_Unit___see_description
276869.6741502447,6457474.863396788,541.8501047402774,175,7,1,Unnamed_GIS_Unit___see_description
276849.50415226805,6457355.276211074,546.2852704676358,100,6,1,Unnamed_GIS_Unit___see_description
276728.63746886887,6457379.036578201,543.811465979074,345,76,1,Unnamed_GIS_Unit___see_description
276673.91032744525,6457629.223095508,531.2948583098979,235,25,1,Unnamed_GIS_Unit___see_description
276810.18688257685,6457696.435544258,535.3623618913875,115,16,1,Unnamed_GIS_Unit___see_description
276609.4007743016,6457825.169034302,536.4203488391895,225,11,1,Unnamed_GIS_Unit___see_description
276645.42658053327,6458023.757975828,544.5966458710855,255,16,1,Unnamed_GIS_Unit___see_description
276256.35805625224,6457860.59361733,518.4451735896214,140,59,1,Unnamed_GIS_Unit___see_description
276266.9067395671,6458129.958874986,523.5529266940871,195,43,1,Unnamed_GIS_Unit___see_description
276035.1237584631,6457856.409034762,509.0,275,67,1,Unnamed_GIS_Unit___see_description
275845.81875181384,6457840.495612829,509.0,125,17,1,Unnamed_GIS_Unit___see_description
275778.0057408116,6457927.756957458,509.0,305,23,1,Unnamed_GIS_Unit___see_description
275645.4996529047,6457960.124676719,509.0,265,17,1,Unnamed_GIS_Unit___see_description
275341.3019254479,6458018.113398697,503.85440352079263,200,49,1,Emeroo_Subgroup
275373.83879115887,6457854.196956689,504.41660710092253,215,25,1,Emeroo_Subgroup
275267.4777784316,6457802.599977909,502.57879817757146,215,38,1,Emeroo_Subgroup
275318.98663032986,6457738.945616009,503.4688181691348,135,22,1,Emeroo_Subgroup
275265.9580922816,6457351.9350921195,515.8951412378581,260,59,1,Emeroo_Subgroup
275089.67699922854,6457547.742303204,502.8047118346552,265,86,1,Emeroo_Subgroup
275041.1442618269,6457497.74916775,503.11126122627047,90,87,1,Emeroo_Subgroup
275071.01191169757,6457742.69375504,499.18407003650293,95,82,1,Emeroo_Subgroup
275006.56513627386,6457844.22475018,498.07049603116104,280,58,1,Emeroo_Subgroup
274802.5242074013,6457540.525024058,495.7281420481307,265,75,1,Emeroo_Subgroup
274714.50608182495,6457579.075860451,493.31263010971134,75,64,1,Burra_Group
274624.128616911,6457578.856248038,490.97371902042784,75,62,1,Burra_Group
274563.152962876,6457647.179695563,488.78928319539847,255,87,1,Burra_Group
274525.77862373576,6457665.657779777,487.7398742075607,90,88,1,Burra_Group
274455.5710594766,6457852.259615485,485.7685631250745,270,80,1,Burra_Group
274150.79521931254,6457440.26182162,481.22682829000996,285,64,1,Burra_Group
273994.7060729853,6457478.753841529,476.35951301009385,270,68,1,Burra_Group
274388.84760168067,6458030.839548303,483.89507992988314,260,88,1,Burra_Group
273974.8252510311,6458274.414597735,472.3172649170572,260,76,1,Burra_Group
274148.3058741096,6458279.461939053,477.380225098708,255,78,1,Burra_Group
274302.5963052504,6458190.238916313,481.42906301560424,260,78,1,Burra_Group
274225.8795135906,6458247.562690362,479.6159535679576,75,86,1,Burra_Group
274746.1256140756,6458198.589601001,491.77975005551144,70,66,1,Burra_Group
274840.7452601263,6458242.500095757,493.3304647715124,90,82,1,Emeroo_Subgroup
275070.8059740872,6458254.226213995,499.1942703066487,275,82,1,Emeroo_Subgroup
275188.211485661,6458242.389483821,502.13082396901837,260,70,1,Emeroo_Subgroup
275193.49279933306,6458144.2144402,501.55814913180313,310,42,1,Emeroo_Subgroup
275719.4571259958,6458126.935825938,509.3833158465227,290,34,1,Unnamed_GIS_Unit___see_description
275961.7738402239,6458299.548881726,512.7387139556588,210,67,1,Unnamed_GIS_Unit___see_description
275827.5243714187,6458303.480969647,512.8151491958179,210,72,1,Unnamed_GIS_Unit___see_description
275484.71003657905,6458268.326488407,508.7679252460187,100,10,1,Unnamed_GIS_Unit___see_description
274871.98444211076,6457524.639522904,497.7683570385511,85,90,1,Emeroo_Subgroup
274956.1693439311,6457531.265863858,499.86503785999,85,90,1,Emeroo_Subgroup
275209.0368782482,6457536.947456976,506.15274158682746,175,75,1,Emeroo_Subgroup
274996.30159983237,6458254.249019457,497.2425686282951,85,90,1,Emeroo_Subgroup
256766.21392137898,6457793.927517268,416.47919444629133,85,90,1,Yerelina_Subgroup
257043.392496297,6457777.225758497,415.8634097443733,70,90,1,Umberatana_Group
274725.6155541743,6458236.854768156,490.5142314737878,275,82,1,Burra_Group
275550.0168393613,6458127.539574491,507.805162042142,90,90,1,Unnamed_GIS_Unit___see_description
298595.0963369509,6458049.669214675,403.40276167052303,85,70,1,Emeroo_Subgroup
266732.86277883593,6406606.919812856,469.10429846537886,322,50,1,Unnamed_GIS_Unit___see_description
266712.37462250225,6406549.412526609,469.6567915247491,264,80,1,Unnamed_GIS_Unit___see_description
266836.90243959974,6406611.336013309,468.6928762716588,270,44,1,Unnamed_GIS_Unit___see_description
266869.34416263574,6406162.7233918,470.29847169697325,98,68,1,Unnamed_GIS_Unit___see_description
267158.4243684265,6405765.78651781,463.33705699870984,4,60,1,Burra_Group
267224.82296063274,6405608.330234882,465.62273465896783,43,68,1,Burra_Group
267429.7292442186,6405440.772887143,467.5716089261021,43,85,1,Burra_Group
267517.93627942813,6405409.421299202,467.40482077362407,18,80,1,Burra_Group
267608.7392618103,6405436.491091287,465.90921338723336,34,90,1,Burra_Group
267180.98074289586,6406536.556438986,459.03179215535613,30,47,1,Unnamed_GIS_Unit___see_description
278071.13225833944,6405552.253065856,489.0921609187708,270,70,1,Yudnamutana_Subgroup
278480.9691002085,6406351.020888675,504.01805049720235,280,65,1,Burra_Group
280992.6787900226,6408264.912585827,501.6350438204926,85,55,1,Emeroo_Subgroup
278728.2989965648,6408558.724222045,541.084161369193,295,80,1,Yudnamutana_Subgroup
276763.99636842613,6408716.038142396,594.6324399040649,295,70,1,Wilpena_Group
275057.9585436864,6405793.871579096,544.9638201472287,345,50,1,Wilpena_Group
272362.11359329685,6407138.102100257,501.17219643657626,80,60,1,Umberatana_Group
269287.2731042012,6405593.187612613,461.2831568683889,80,75,1,Burra_Group
266027.76729741273,6405711.396545449,481.88079073097134,65,10,1,Burra_Group
263410.5834092528,6405219.913125835,547.9914011112428,290,70,1,Burra_Group
262100.79058626833,6405886.075074454,535.06331492648,300,60,1,Yudnamutana_Subgroup
262028.85827233063,6409876.2231549565,487.8304550793355,295,70,1,Umberatana_Group
258389.84580636412,6409869.663149406,530.0680075946096,295,60,1,Wilpena_Group
255717.76107104286,6416259.998180019,524.9540996023601,290,35,1,Wilpena_Group
253982.71153694554,6418542.221060676,428.28666932859363,140,55,1,Wilpena_Group
252279.1728640798,6420297.337532923,372.9831064775812,310,25,1,Wilpena_Group
256714.72117037204,6421170.236279732,397.71503365040746,170,45,1,Wilpena_Group
256923.75915494954,6423396.604972154,368.70003609366006,175,30,1,Yerelina_Subgroup
256133.39584738403,6423636.183531363,352.0,220,40,1,Yerelina_Subgroup
254060.24455162094,6423868.489218269,350.3017589373195,275,55,1,Wilpena_Group
255356.09963165756,6426030.123287624,332.7564982863459,310,70,1,Wilpena_Group
251830.05242298575,6431032.478478804,318.1306283250876,95,25,1,Umberatana_Group
252963.93937869472,6431832.421565935,355.47364061607414,115,30,1,Umberatana_Group
254917.66310174027,6430404.033277193,337.9049319204556,15,40,1,Umberatana_Group
257897.14565142777,6428147.655157143,335.91198062220053,300,60,1,Umberatana_Group
257515.7108708609,6430355.251268912,399.4816576346004,320,70,1,ABC_Range_Quartzite
260849.22519838944,6430968.653711754,408.3824501965395,335,50,1,Umberatana_Group
260203.8806699566,6432938.271130884,518.6133249052991,320,70,1,ABC_Range_Quartzite
260301.55195387022,6434909.271468173,472.5196046811654,180,25,1,Wilpena_Group
260574.1866100629,6436583.485617202,461.7611610519335,165,30,1,Wilpena_Group
259323.01367444874,6437669.738000521,425.59052624349033,145,35,1,Wilpena_Group
