GROUP_,id,x,y,z,code
Warrina Supergroup,83,293999.7717771554,6455970.837139804,546.3436036361903,Emeroo_Subgroup
Warrina Supergroup,83,294129.1028181083,6455771.866182817,559.5703994121851,Emeroo_Subgroup
Warrina Supergroup,83,294234.2972807709,6455610.028593874,544.9273792284711,Emeroo_Subgroup
Warrina Supergroup,83,294283.9965455129,6455533.568211846,537.0320233898019,Emeroo_Subgroup
Warrina Supergroup,83,294521.51995693357,6455281.199750511,510.2741603603135,Emeroo_Subgroup
Warrina Supergroup,83,294639.7756196245,6455155.553385531,510.67627371407843,Emeroo_Subgroup
Warrina Supergroup,83,294817.664208131,6455088.844808595,513.3045258557038,Emeroo_Subgroup
Warrina Supergroup,83,295084.49810867803,6455111.081263417,514.9515312935353,Emeroo_Subgroup
Warrina Supergroup,83,295226.3913276878,6455252.974388614,507.57349149661513,Emeroo_Subgroup
Warrina Supergroup,83,295329.09548656445,6455355.678598318,498.9392132289088,Emeroo_Subgroup
Warrina Supergroup,83,295462.5128268276,6455689.22126228,494.7598095190026,Emeroo_Subgroup
Warrina Supergroup,83,295462.51292056695,6456089.472510468,483.48777156425183,Emeroo_Subgroup
Warrina Supergroup,83,295427.6423202564,6456484.66542287,477.15012537752875,Emeroo_Subgroup
Warrina Supergroup,83,295395.803281481,6456845.50103263,483.2352684872349,Emeroo_Subgroup
Warrina Supergroup,83,295345.549454662,6457197.28079032,495.5808796036814,Emeroo_Subgroup
Warrina Supergroup,83,295329.09554061305,6457312.459149341,493.17107201225997,Emeroo_Subgroup
Warrina Supergroup,83,295306.85905770236,6457490.34956855,488.6937178431655,Emeroo_Subgroup
Warrina Supergroup,83,298209.4254388757,6455581.23668829,400.12070589298776,Emeroo_Subgroup
Warrina Supergroup,83,297194.6739369647,6455860.238076588,417.47268355806216,Emeroo_Subgroup
Warrina Supergroup,83,296611.6725164067,6455372.487752738,421.20161404818884,Emeroo_Subgroup
Warrina Supergroup,83,295904.2321258783,6453782.610680753,445.64531444242596,Emeroo_Subgroup
Warrina Supergroup,83,295786.72889289283,6453303.4972886015,444.94533953185584,Emeroo_Subgroup
Warrina Supergroup,83,294770.663161048,6449160.541404554,484.0382827725253,Emeroo_Subgroup
Warrina Supergroup,83,293971.4100971998,6447583.414332515,479.2820925619049,Emeroo_Subgroup
Warrina Supergroup,83,292824.4046585128,6444089.784352796,504.6464738396817,Emeroo_Subgroup
Warrina Supergroup,83,292297.0319183794,6447403.228374571,549.2455736802774,Emeroo_Subgroup
