WKT	ID	DESCRIPTIO
LINESTRING (253530.8329617298 6425729.586981943, 253489.7106374437 6423914.477919796, 253027.2822580048 6422330.100552171, 251200.0896936368 6417473.343752993)	334	Fault
LINESTRING (252648.3579759532 6407401.823208915, 252957.8680025749 6408810.950483004, 253278.0179100988 6409520.326515086, 253399.1634346276 6410256.015189631, 253757.8840294466 6411287.016603311, 254019.397086401 6411888.267693957)	332	Fault
LINESTRING (255043.2782027101 6428600.656730795, 253958.0907066864 6427621.48419864, 253553.4540176666 6426728.064015592, 253530.8329617298 6425729.586981943)	523	Fault
LINESTRING (255043.2782027101 6428600.656730795, 255716.9161157836 6429208.48509692, 256296.1170621332 6429818.610546692, 256395.2716155342 6430132.254082416, 256499.4331779394 6430461.736525597, 256845.9597876015 6431557.863124373, 257081.1912011538 6431899.67589505, 258098.4008301441 6432673.676110066, 259327.2574701848 6433279.090721111, 259588.8067903559 6433444.23841219)	546	Fault
LINESTRING (253054.2296795755 6458163.914162314, 253574.8111114418 6458336.085975628)	524	Fault
LINESTRING (266111.1707627302 6412921.568257909, 265222.2692599208 6415235.948592089, 263935.1237282062 6419936.583806425, 263294.3869079787 6422301.963854568, 263267.3977243914 6423347.338479158, 263235.2995330975 6424590.593163162)	331	Fault
LINESTRING (270592.4785697115 6447476.625946129, 271511.3511118244 6447347.125033921, 273445.0454712897 6446923.059630712, 274945.1291617088 6446660.435522847, 275548.3980872015 6446554.81945425, 275729.1115015983 6446523.181420224, 276587.9721033339 6446361.930178592, 277219.9339896573 6446118.491571782, 277742.6041900745 6446065.6878815, 278306.2912009855 6446008.74030458)	338	Fault
LINESTRING (279043.9996714769 6408530.350204149, 279186.045710496 6408321.094053883, 279433.8769311501 6407956.00068583, 279458.2567667087 6407665.502587416, 279472.5036774476 6407495.741182972, 279550.4601836632 6406566.792829419, 279557.2354004303 6406486.057226708, 279480.4984176775 6405980.382513089, 279344.5506186222 6405084.328058686)	621	Fault
LINESTRING (283534.0089944947 6456063.390598896, 283631.3257138812 6456031.021856173, 284485.3786951543 6455573.047486769, 284653.2556634843 6455443.969970098, 284831.5609528051 6455313.809953131, 285031.684058228 6455208.460204503, 285335.1222698623 6454974.898302637, 285857.6689202748 6454605.818339756, 286493.0911620861 6454076.370762169)	508	Fault
LINESTRING (292824.404658681 6444089.784352797, 290795.4009634815 6444053.161405044, 290290.0877997357 6444116.59933356)	340	Fault
LINESTRING (294399.3435980146 6442787.280363176, 293657.7782908485 6441348.966151474, 292739.0885014407 6440867.528784471, 291752.7742231667 6440643.841891842, 290084.5833451776 6440219.655285304, 289519.519799935 6440235.780889494)	341	Fault
LINESTRING (293971.4100973613 6447583.414332516, 292952.4706080392 6447435.227769759, 292297.0319185503 6447403.228374571, 290760.4666064177 6447196.166946898)	339	Fault
LINESTRING (293548.2045030888 6455803.386642605, 293842.5766468731 6455363.900621925, 294226.7571720758 6454873.645882315, 294528.594775356 6454488.469113337, 295151.2068602042 6453821.38450134, 295506.9850093565 6453443.370636526, 295786.7288930443 6453303.497288601)	516	Fault
LINESTRING (295351.0954973093 6443177.967642983, 295615.7815908199 6441185.401412537, 295766.968194145 6440044.711620936, 295969.3422080722 6438691.584128241)	342	Fault
LINESTRING (297642.7900217952 6446090.345515881, 298160.4748696504 6442547.901215332, 298315.5358403916 6440659.585191289)	343	Fault
LINESTRING (300211.4223179467 6448933.847985736, 300735.5439887528 6444537.027319721, 300888.6055450741 6443320.024998216)	344	Fault
