WKT	ID	STRATNAM_1	PARENTNAME	min	max	STRATNAME	r1	r2	STRATDESC
"POLYGON ((298749.8360823473 6458336.085975628, 298602.6829122744 6457734.769246515, 298556.2404327188 6457544.989651525, 298547.1778493085 6457493.677128969, 298209.4254388757 6455581.23668829, 297194.6739369647 6455860.238076588, 296611.6725164067 6455372.487752738, 295904.2321258783 6453782.610680753, 295786.7288928928 6453303.497288601, 294770.663161048 6449160.541404554, 293971.4100971998 6447583.414332515, 292824.4046585128 6444089.784352796, 292297.0319183794 6447403.228374571, 292952.4706078721 6447435.227769759, 293458.3483117024 6449142.105089391, 293871.726969456 6452082.672288476, 294001.2803241581 6454168.447279263, 294060.7451799475 6454436.037693303, 294101.2071355883 6454557.423572547, 294161.9004003847 6454779.964068385, 294226.7571719163 6454873.645882314, 293842.5766467115 6455363.900621925, 293548.2045029258 6455803.386642605, 293705.8566491485 6455844.874186513, 293999.7717771554 6455970.837139804, 294129.1028181083 6455771.866182817, 294234.2972807709 6455610.028593874, 294283.9965455129 6455533.568211846, 294521.5199569336 6455281.199750511, 294639.7756196245 6455155.553385531, 294817.664208131 6455088.844808595, 295084.498108678 6455111.081263417, 295226.3913276878 6455252.974388614, 295329.0954865644 6455355.678598318, 295462.5128268276 6455689.22126228, 295462.512920567 6456089.472510468, 295427.6423202564 6456484.66542287, 295395.803281481 6456845.50103263, 295345.549454662 6457197.28079032, 295329.0955406131 6457312.459149341, 295306.8590577024 6457490.34956855, 295349.3803906345 6457745.478092002, 295573.6937051843 6457979.54430672, 295892.9671509302 6458238.004406255, 296014.1264582349 6458336.085975628, 298749.8360823473 6458336.085975628))"	"0"	"Emeroo Subgroup"	"Warrina Supergroup"	"635.0"	"720.0"	"Emeroo Subgroup"	"Nope"	"Nope"	"0"
"MULTIPOLYGON (((252543.8274167197 6438609.193112211, 252423.9905864513 6437934.379646046, 252603.3919337399 6436900.815039745, 252626.104420781 6434855.498859482, 252309.6414567755 6433534.371790053, 251444.6514198561 6433359.747504145, 250805.1529856466 6433668.831728003, 250805.1529856466 6436657.550138169, 251021.2288730422 6436738.566418224, 251396.9257118813 6437542.005038539, 251669.2121019259 6438220.693458654, 252204.7488636089 6438738.006209359, 252543.8274167197 6438609.193112211)), ((250805.1529856466 6439258.152911277, 251896.1203071901 6439463.070427181, 250805.1529856466 6438432.133850475, 250805.1529856466 6439258.152911277)))"	"1"	"Yudnamutana Subgroup"	"Heysen Supergroup"	"658.0"	"700.0"	"Yudnamutana Subgroup"	"Nope"	"Nope"	"0"
"MULTIPOLYGON (((336682.921539395 6444777.782057626, 336600.2488730188 6444834.897494932, 336329.5868681399 6444895.111035681, 336109.7365231018 6444850.229465779, 335904.8382074081 6444768.077947242, 335825.5143168166 6444712.478488708, 335631.8930378046 6444548.31905974, 335226.5289852719 6444098.083333466, 334745.2619805278 6443535.212295953, 334677.2150489659 6443397.60488057, 334675.3042783049 6443199.907859451, 334440.255359874 6443001.909380687, 334327.0980992959 6442874.337440761, 333861.2890446126 6442159.748189677, 333589.6098978277 6441812.866109987, 333416.8962073656 6441618.151110025, 333295.5026574081 6441521.888735792, 333056.010782617 6441380.439442525, 332689.4240840667 6441237.787560501, 332469.5737081354 6441192.905962389, 332195.2365616749 6441208.38128663, 331814.9664843907 6441293.872420345, 331453.5777533138 6441488.605759818, 330871.4527794846 6441759.243314548, 330475.4705040749 6441894.678818909, 330321.1322926731 6441923.654687386, 330168.6945014262 6441920.943882072, 329929.0768006844 6441887.605874166, 329455.9227710193 6441719.532888729, 328589.44444571 6441324.537982451, 328265.3075037597 6441216.211650221, 327813.8213429743 6441004.908481608, 327672.6604420106 6440920.189795298, 327410.1061765013 6440739.208680633, 327094.2052948409 6440599.572832394, 326855.7278000949 6440547.222847356, 326690.998661617 6440537.420821175, 326439.7238458606 6440592.428152859, 326341.6470497726 6440637.471537054, 326242.0499668608 6440707.864204668, 326024.8628535505 6440936.617743332, 325969.7442762329 6441219.534592917, 325982.6752954625 6441958.055290674, 326030.577369184 6442431.540019757, 326012.3329168141 6442735.730740865, 325932.2515233009 6443010.802278014, 325825.8127733697 6443195.266464824, 325422.102762398 6443565.559271697, 325310.4685708275 6443730.634552777, 325311.066982051 6443821.662135579, 325668.0589626104 6443917.270615238, 325932.1336282475 6444072.902523022, 326419.227859701 6444432.602585941, 326647.822905397 6444649.722514827, 326911.8975074815 6444805.354382558, 327141.3786138741 6444901.688429618, 327311.3032913094 6444930.879454535, 327502.1356213561 6444929.51485871, 327594.6367783936 6444871.419762394, 327670.5372216275 6444666.058708295, 327655.4567356588 6444493.443376628, 327684.6005711753 6444431.578353388, 327832.3487837111 6444300.45177385, 327921.8093771262 6444293.055110658, 328158.7664446888 6444370.754206475, 328244.4260739033 6444426.730653705, 328315.5136388877 6444513.639756105, 328573.3810466246 6444878.779801615, 328781.4485771132 6445120.117931345, 328950.4872765079 6445270.094705075, 329462.1641725563 6445643.97750471, 329886.6611911274 6445987.23297386, 330288.8559568278 6446278.281903169, 331016.9624536811 6446754.082115385, 331581.7317288434 6446984.845875438, 331862.6588623165 6447071.521301841, 331984.8125190764 6447155.10908428, 332270.3033342899 6447483.73314219, 332559.8494119777 6447850.758163704, 332759.8065678618 6448015.294714987, 332835.0752590265 6448032.493273297, 332950.8931609099 6448115.704056934, 333211.9270706096 6448322.034334471, 333752.8737090979 6448525.940767122, 334314.728086047 6448699.291747268, 334492.1286359694 6448709.847805087, 334659.1384236038 6448681.626048824, 334958.5642016209 6448565.884713681, 335361.76830854 6448310.040269487, 335470.741908362 6448189.326281012, 335786.0057102646 6447915.529258342, 335898.2743911635 6447845.890621752, 336110.7744625844 6447801.295808163, 336467.4762661732 6447790.721450079, 336682.921539395 6447814.840576605, 336682.921539395 6444777.782057626)), ((333262.4403253837 6453800.202290732, 333264.8593829038 6453805.88856929, 333259.6100166352 6454644.95254247, 333719.7362929966 6455206.515554514, 334218.3624151325 6455433.20308682, 334818.6132789387 6455266.077319598, 335008.988826598 6455606.702714056, 335440.1775548487 6456106.390612722, 335917.3033122616 6455981.765104519, 336140.4908340884 6455606.076700466, 336447.8038196053 6455538.013786406, 336682.921539395 6455621.557342571, 336682.921539395 6453704.550679991, 336021.4921866633 6454060.508204633, 335668.8456442168 6454109.483538424, 335325.195487603 6454114.474528976, 334945.0513417691 6454091.854341534, 334287.7808209442 6453919.185743714, 334113.1666442906 6453756.157370597, 333984.6772581534 6453672.192509113, 333781.7574625575 6453282.00299135, 333389.87819219 6453624.079733831, 333262.4403253837 6453800.202290732)))"	"2"	"Unnamed GIS Unit - see description"	"Unnamed GIS Unit - see description"	"541.0"	"2500.0"	"Unnamed GIS Unit - see description"	"Nope"	"Nope"	"0"
"POLYGON ((259327.2574697043 6433279.09072111, 259404.6808331748 6433366.376653653, 259539.7603529266 6433552.492308874, 260149.0137240558 6434631.772728575, 260284.0931439709 6434817.888425076, 260494.0612222746 6435027.539928982, 260710.1106835885 6435135.79458845, 260971.2703598389 6435234.01362939, 261029.0522707261 6435224.73197994, 261088.7345094652 6435183.76387104, 261258.9107313134 6434996.732310806, 261292.2355103168 6434865.156977233, 261251.9379351239 6434582.922353279, 261163.6150221974 6434253.310596883, 261085.177090878 6434076.925359631, 260616.5787187671 6433196.812170717, 260382.153682014 6432864.86677642, 259975.0149257184 6432338.206507107, 259411.3832219873 6431770.434627555, 259097.8885648178 6431484.663666716, 257860.131143199 6430495.183193026, 257583.1307273165 6430237.023575041, 257225.0316166358 6429846.839699841, 256816.2467723179 6429453.639851312, 255584.4420846572 6428152.877390373, 255281.8444247134 6427791.435729415, 254651.0516401306 6426965.270613281, 254270.6503247901 6426522.880247358, 253613.628706105 6425815.992959786, 253530.8329611598 6425729.58698194, 253553.4540170973 6426728.064015591, 253958.0907061238 6427621.484198639, 255043.278202165 6428600.656730793, 255716.9161152489 6429208.485096918, 256296.1170616077 6429818.610546691, 256395.2716150102 6430132.254082415, 256499.4331774171 6430461.736525597, 256845.9597870847 6431557.863124372, 257081.1912006405 6431899.67589505, 258098.400829646 6432673.676110065, 259327.2574697043 6433279.09072111))"	"3"	"ABC Range Quartzite"	"Wilpena Group"	"541.0"	"635.0"	"ABC Range Quartzite"	"Nope"	"Nope"	"0"
"POLYGON ((267048.9567317147 6431626.625431681, 266857.5910309624 6431415.539055626, 265979.1348012063 6429988.599991369, 265962.4277863023 6429946.412541036, 265844.0383141711 6429895.42924183, 265711.3679867664 6429881.174955765, 265659.1616519678 6429903.508153853, 265550.1881133775 6430024.222294591, 265462.1248099562 6430432.377267532, 265474.9248160876 6430643.016340249, 265453.0053533595 6430902.468961999, 265463.410780211 6430964.250968022, 266011.9881412179 6431668.665477194, 265946.1256497578 6432445.542031136, 267445.4074387877 6434056.105737458, 268520.4749690805 6435398.822398063, 268756.8744852416 6435290.251906972, 268892.96578203 6435247.470464427, 269126.8794195033 6435057.871656843, 269253.8457143483 6434849.189286726, 269269.9022688554 6434746.758381387, 269252.5771202627 6434658.316055958, 269123.8334177734 6434472.577474069, 268743.6864051869 6434131.961071532, 268001.8937808003 6433566.307700854, 267579.0428989524 6433089.591795049, 267236.6561309001 6432649.463440642, 267100.1821170265 6432380.585857419, 267037.9623262936 6432039.807613872, 267041.000362898 6431671.112737287, 267048.9567317147 6431626.625431681))"	"4"	"Unnamed GIS Unit - see description"	"Unnamed GIS Unit - see description"	"541.0"	"2500.0"	"Unnamed GIS Unit - see description"	"Nope"	"Nope"	"0"
"POLYGON ((250805.1529856466 6453874.324880334, 251344.0329413755 6454528.678467223, 252432.959399011 6455819.255150296, 253188.062417541 6456715.937453929, 253766.7878160027 6457403.171973942, 254208.7987561569 6458336.085975628, 254842.8971777197 6458336.085975628, 254833.0674477583 6458306.596773282, 254458.9917329478 6457638.606443965, 253914.9802338848 6456746.430111311, 253123.0067632308 6455447.597248197, 252000.7800945754 6453897.859543258, 250931.9930303634 6452775.63543851, 250805.1529856466 6452667.448612415, 250805.1529856466 6453874.324880334))"	"5"	"Pound Subgroup"	"Wilpena Group"	"545.0"	"556.0"	"Pound Subgroup"	"Nope"	"Nope"	"0"
"POLYGON ((300021.9694290832 6458336.085975628, 299949.6645874518 6457761.253478134, 299926.1803019326 6457574.550844148, 299918.6176866 6457522.238320462, 299682.6157651712 6455893.673166357, 298962.5515476112 6455386.923097455, 298209.4254388757 6455581.23668829, 298547.1778493085 6457493.677128969, 298556.2404327188 6457544.989651525, 298602.6829122744 6457734.769246515, 298749.8360823473 6458336.085975628, 300021.9694290832 6458336.085975628))"	"6"	"Yudnamutana Subgroup"	"Heysen Supergroup"	"658.0"	"700.0"	"Yudnamutana Subgroup"	"Nope"	"Nope"	"0"
"POLYGON ((291854.7241591144 6436772.157579308, 291891.9467621555 6436717.7585035, 291992.04984241 6436532.917304093, 292015.998189243 6436451.663326632, 292189.8441885994 6435673.377369173, 292303.6305966992 6435260.393052979, 292604.9514878747 6434476.972365706, 292730.6491671751 6434077.416767975, 292777.5314201408 6433825.809523433, 292778.2889769258 6433495.138507714, 292746.6076346273 6433175.257103657, 292688.0630102755 6432879.216922896, 292696.6964155117 6432616.82957609, 292703.5182362107 6432409.502199369, 292683.4964632563 6432319.271937495, 292678.5527439239 6432083.660572385, 292733.5427620385 6431590.85856721, 292710.8604767417 6431544.989447025, 292605.1791836985 6431398.782625543, 292504.0590386105 6431176.528136771, 292364.9243609639 6430952.011714241, 292216.0331628048 6430784.153911127, 291877.9558116455 6430484.200311145, 291524.1662866758 6430234.191280678, 290932.1510310434 6429715.609708441, 290453.9273384384 6429420.036760259, 289783.6025936584 6428934.955033425, 289693.507645008 6428846.915084885, 289592.3874800167 6428624.66065919, 289371.0141094053 6428287.131897854, 289342.121848849 6428132.774443395, 289369.8710724935 6427988.147423994, 289468.5795767274 6427720.544191189, 289802.8506486012 6427447.878138283, 289891.8026220677 6427236.93372328, 290001.9165099934 6427097.207674913, 290006.9835139096 6426906.711454936, 289975.9364602957 6426682.266657237, 289806.1376837658 6426544.964435993, 289470.7236213968 6426518.646181152, 288959.3035758825 6426564.533671169, 288740.8478184373 6426602.414071534, 288437.492573461 6426571.643359697, 288174.4323424016 6426505.110943662, 287882.3540591103 6426392.332212493, 287698.363282569 6426279.625322591, 287638.8068355394 6426212.482199257, 287621.4457751021 6426077.890760761, 287660.9778706392 6425736.807114109, 287714.8303989897 6425581.01340945, 287855.228400353 6425360.410407974, 287942.5315060436 6424964.930070137, 287919.466367193 6424607.401811011, 287883.8583442526 6424459.004774584, 287782.7381751373 6424236.750333022, 287709.7500391377 6424181.527918519, 287572.6443486438 6424135.209976884, 287405.6345639565 6424163.431836279, 287097.9725535841 6424310.482663814, 286918.5455671275 6424439.724423449, 286860.0036379179 6424461.680617172, 286480.2394748353 6424432.723276088, 286342.3736502531 6424399.080026877, 286187.4009704475 6424332.61912209, 286034.3288606014 6424234.471837293, 285528.227251381 6423873.640816401, 285341.1958646873 6423811.63237291, 285238.3037130301 6423830.949440339, 285158.4740488728 6423889.79850452, 285077.7581825361 6424069.433373781, 285052.2895121404 6424176.036690235, 285062.5572619673 6424640.922088207, 285010.8623059973 6425184.799622671, 284886.8108681847 6425450.894740794, 284688.3766627439 6425579.005520218, 284617.163190173 6425600.207603903, 284359.5526767471 6425654.837941728, 284128.1453369531 6425675.60126147, 284103.8427546564 6425677.781814123, 283830.2656825921 6425680.582719076, 283609.6551268186 6425648.375742864, 283342.9197563963 6425537.104989956, 283166.0250216494 6425412.100492267, 282968.348368502 6425209.540298113, 282826.5531248724 6425029.384868163, 282724.2926307813 6424826.142401007, 282616.3308758845 6424717.9594953, 282474.8583766204 6424714.398850659, 282014.5669200963 6425210.025719991, 281900.3979225481 6425311.350978643, 281768.3617836442 6425392.533296064, 281644.1818791901 6425448.743384017, 281368.3244281642 6425489.568109628, 280924.0625996442 6425475.852590796, 280757.8130842575 6425491.399790187, 280186.836428916 6425470.144308232, 280052.645623718 6425481.239213442, 279954.5689120387 6425526.282627858, 279801.245150637 6425644.357843073, 279759.4297728314 6425705.468765851, 279727.2452744545 6425818.032365538, 279686.1900489887 6425866.468749315, 279566.5739424261 6426164.627474163, 279458.3604695132 6426272.666983021, 279430.6111095813 6426417.294122433, 279403.2445788984 6426873.580210723, 279495.3684663262 6427139.818866221, 279596.9944871373 6427247.624851422, 279811.1435805697 6427387.565921642, 279980.308046487 6427429.431594458, 280157.7087113823 6427439.987594131, 280616.9225308195 6427416.433231529, 281349.0789403688 6427294.641416395, 281470.5982681551 6427282.79247603, 281715.791604245 6427329.182025833, 281784.3443965795 6427352.341019108, 282099.3593257794 6427612.762738287, 282238.1138258381 6427843.61654599, 282654.5059181104 6428746.062947445, 282848.635853187 6429113.770214684, 283103.8427273527 6429523.271354376, 283244.8778105176 6429716.101329251, 283454.8457428546 6429925.752869489, 283780.5059784327 6430326.726338059, 283956.8947916763 6430566.179517558, 284161.7957611115 6430966.327309149, 284246.4436060735 6431251.200817699, 284347.1836352298 6431479.792667729, 284461.7355384526 6431690.126423797, 284543.9742466669 6431803.138650545, 284803.487957399 6432034.818219554, 284846.3177045982 6432062.806404203, 285103.8024569504 6432116.287304859, 285173.4955231206 6432120.434318544, 285387.5160155594 6432050.490345392, 285526.1421237017 6432071.459027598, 285711.2406118897 6432176.454288678, 285864.3452136387 6432263.301366065, 286148.3158112194 6432617.274719968, 286300.1219685494 6432842.545279052, 286380.0801930939 6432993.581359293, 286484.7496685524 6433368.685150612, 286576.6191359356 6433533.149880895, 286892.2684716794 6433889.008122927, 287048.6355860332 6434038.230948036, 287365.1708509129 6434273.303500989, 287454.5055620581 6434374.018051961, 287756.2172958537 6434856.245541303, 287821.4777290366 6435146.325504746, 287848.215313099 6435230.595457292, 288066.5479285972 6435618.822624936, 288180.4654331424 6435733.719895359, 288358.1203770947 6435846.049777118, 288843.9458537544 6436014.876682885, 288989.9220862527 6436125.321577, 289275.2845226477 6436244.060595486, 289464.8507969379 6436369.819199031, 289573.1926782767 6436471.664830475, 289623.0376909348 6436548.30547375, 289977.4544529358 6436660.899001526, 290974.9128864299 6437387.389052983, 291603.8005809695 6437069.488217022, 291724.6854643158 6436962.202820223, 291854.7241591144 6436772.157579308))"	"7"	"Unnamed GIS Unit - see description"	"Unnamed GIS Unit - see description"	"541.0"	"2500.0"	"Unnamed GIS Unit - see description"	"Nope"	"Nope"	"0"
"POLYGON ((334675.3042783049 6443199.907859451, 334677.2150489659 6443397.60488057, 334745.2619805278 6443535.212295953, 335226.5289852719 6444098.083333466, 335631.8930378046 6444548.31905974, 335825.5143168166 6444712.478488708, 335904.8382074081 6444768.077947242, 336109.7365231018 6444850.229465779, 336329.5868681399 6444895.111035681, 336600.2488730188 6444834.897494932, 336682.921539395 6444777.782057626, 336682.921539395 6442631.051887326, 336668.403389456 6442638.419248193, 336313.4762316227 6442725.41837155, 336112.1271315517 6442796.116246071, 335915.2133744153 6442898.877713535, 335349.9409105637 6443100.558937527, 335027.8327726517 6443170.431070348, 334785.1743387937 6443187.791420599, 334741.5842761248 6443172.477811606, 334675.3042783049 6443199.907859451))"	"8"	"Unnamed GIS Unit - see description"	"Unnamed GIS Unit - see description"	"541.0"	"2500.0"	"Unnamed GIS Unit - see description"	"Nope"	"Nope"	"0"
"POLYGON ((321220.7251518078 6440466.31429841, 320834.7485100611 6440010.872302067, 320593.8619872326 6439786.661074791, 320350.3148143375 6439606.8109362, 319866.5156670278 6439298.186319754, 319136.382796649 6438962.183953217, 318835.8141160061 6438778.940951372, 318202.7437000847 6438308.795811346, 317504.0353225569 6437872.904454919, 317029.6125240483 6437513.95842202, 316634.283107754 6437108.062919648, 316450.0647330311 6437052.248902351, 314614.8729209526 6435966.873591928, 312494.6173469076 6434080.622268405, 311373.989459928 6433120.62156897, 310239.7994480467 6432709.809409421, 308621.7965822787 6432713.873459884, 306150.9795684261 6432650.000728066, 302772.4094348128 6431067.313597331, 300681.9038322922 6429258.249852934, 294212.3229534937 6422666.056740403, 290256.1860106519 6418076.677112436, 290205.7337939215 6418000.018191457, 288541.1176414408 6415470.736554307, 288508.6800755332 6415421.486468731, 287626.3649514199 6414504.548265005, 287155.8014338862 6414418.048550855, 286703.6136653328 6414880.86236041, 286397.6763558129 6415621.301643559, 286716.6162593089 6417466.867203571, 286637.9915804965 6417852.805438928, 287052.3681073381 6418650.86912586, 287057.0567372276 6419658.433478501, 286410.6182494044 6419870.871940995, 285582.1788122338 6419452.684586194, 283623.5758659157 6417891.24616058, 281263.131883556 6415937.807472738, 279597.556155873 6413666.242533293, 276987.6125368084 6408958.36143909, 275868.5648988615 6406828.688696428, 275706.2223029676 6405955.795736179, 275587.3064082699 6405733.956098415, 275406.6018586088 6405396.825357201, 275270.9219692517 6405336.051997921, 275144.7119791233 6405279.518028408, 275070.3565296936 6405312.583710093, 274826.396072029 6405751.988983142, 274431.5920686851 6405957.886266282, 274402.598346656 6405512.351062782, 274515.3792289856 6405084.328058686, 273769.5355945865 6405084.328058686, 273624.805884578 6405635.42122151, 273304.3943897682 6408604.177276297, 273666.1555888889 6411147.744184243, 276026.6620051201 6415861.821129914, 277062.550118153 6417333.869309803, 278447.3527566928 6419268.795597533, 279848.1437107731 6421296.249805598, 281697.0234820944 6423383.133401282, 284128.1453369531 6425675.60126147, 284359.5526767471 6425654.837941728, 284617.163190173 6425600.207603903, 284688.3766627439 6425579.005520218, 284886.8108681847 6425450.894740794, 285010.8623059973 6425184.799622671, 285062.5572619673 6424640.922088207, 285052.2895121404 6424176.036690235, 285077.7581825361 6424069.433373781, 285158.4740488728 6423889.79850452, 285238.3037130301 6423830.949440339, 285341.1958646873 6423811.63237291, 285528.227251381 6423873.640816401, 286034.3288606014 6424234.471837293, 286187.4009704475 6424332.61912209, 286342.3736502531 6424399.080026877, 286480.2394748353 6424432.723276088, 286860.0036379179 6424461.680617172, 286918.5455671275 6424439.724423449, 287097.9725535841 6424310.482663814, 287405.6345639565 6424163.431836279, 287572.6443486438 6424135.209976884, 287709.7500391377 6424181.527918519, 287782.7381751373 6424236.750333022, 287883.8583442526 6424459.004774584, 287919.466367193 6424607.401811011, 287942.5315060436 6424964.930070137, 287855.228400353 6425360.410407974, 287714.8303989897 6425581.01340945, 287660.9778706392 6425736.807114109, 287621.4457751021 6426077.890760761, 287638.8068355394 6426212.482199257, 287698.363282569 6426279.625322591, 287882.3540591103 6426392.332212493, 288174.4323424016 6426505.110943662, 288437.492573461 6426571.643359697, 288740.8478184373 6426602.414071534, 288959.3035758825 6426564.533671169, 289470.7236213968 6426518.646181152, 289806.1376837658 6426544.964435993, 289975.9364602957 6426682.266657237, 290006.9835139096 6426906.711454936, 290001.9165099934 6427097.207674913, 289891.8026220677 6427236.93372328, 289802.8506486012 6427447.878138283, 289468.5795767274 6427720.544191189, 289369.8710724935 6427988.147423994, 289342.121848849 6428132.774443395, 289371.0141094053 6428287.131897854, 289592.3874800167 6428624.66065919, 289693.507645008 6428846.915084885, 289783.6025936584 6428934.955033425, 290453.9273384384 6429420.036760259, 290932.1510310434 6429715.609708441, 291524.1662866758 6430234.191280678, 291877.9558116455 6430484.200311145, 292216.0331628048 6430784.153911127, 292364.9243609639 6430952.011714241, 292504.0590386105 6431176.528136771, 292605.1791836985 6431398.782625543, 292710.8604767417 6431544.989447025, 292733.5427620385 6431590.85856721, 292678.5527439239 6432083.660572385, 292683.4964632563 6432319.271937495, 292703.5182362107 6432409.502199369, 292696.6964155117 6432616.82957609, 294132.0837174703 6433546.889111041, 299206.5962065457 6436836.51499917, 303171.3563644945 6439990.704251232, 305202.7247980981 6441068.436909319, 307373.9909961175 6442220.391621016, 308519.0323822335 6442816.576142762, 308668.26145918 6442816.675162753, 308727.9437686704 6442775.706955483, 309033.5768034242 6442450.457418257, 309061.5804403148 6442407.604296363, 309070.0683384059 6442160.072389608, 309059.9289880503 6441905.071957181, 308995.8062095843 6441277.984009558, 308944.6116425435 6441071.420085644, 308932.9520795299 6440841.769034792, 308953.2252649891 6440715.776908434, 309038.5022495609 6440460.094333107, 309108.3211756025 6440356.130095828, 309209.0584876238 6440266.725531334, 309425.7396807726 6440152.420382337, 309740.37180493 6440101.183123598, 310052.7234233661 6440087.969759266, 310772.5910980162 6440277.082948886, 311008.7880770172 6440367.45681358, 311774.906292585 6440527.522409152, 311943.3105946512 6440582.062681885, 312144.7881115531 6440721.24988169, 312317.5018214133 6440915.964863045, 312421.6626899055 6441087.520787627, 312544.7049940517 6441368.319065886, 312569.1619777008 6441490.613050183, 312583.862373471 6441669.565508869, 312539.0088982467 6442099.371471711, 312517.9780960382 6442556.034579152, 312543.5324532871 6442671.198676072, 313856.3782087218 6443074.699567104, 317049.3218598524 6443615.19762931, 321642.0699851802 6443844.308286206, 321491.4134882618 6443586.064204035, 321282.9659691004 6443351.063381437, 320507.7201652192 6442707.100271014, 320387.4669617653 6442591.82603847, 320180.9199020166 6442325.138717525, 320124.0240766446 6442213.634530827, 320100.3272926409 6442078.666009787, 320104.2540239022 6441907.181752656, 320187.5045355469 6441791.296951677, 320274.810350636 6441713.812897674, 320629.4832739774 6441525.03994198, 321163.0770033296 6441321.47378308, 321409.6622367741 6441132.628993662, 321436.5256492532 6441108.787737305, 321465.6694816328 6441046.922747226, 321451.7292004043 6440855.295521231, 321220.7251518078 6440466.31429841))"	"9"	"Wilpena Group"	"Heysen Supergroup"	"556.0"	"588.0"	"Wilpena Group"	"Nope"	"Nope"	"0"
