WKT	FIELD_STRU	INCLINATIO	AZIMUTH_TR
POINT (257766.7203625444 6456966.805898331)	18857	50	120
POINT (256453.0838548355 6457632.902248731)	18858	70	100
POINT (254485.8262932596 6457412.807604319)	18859	65	90
POINT (253525.0396267265 6457622.448119596)	18860	8	345
POINT (278725.9371870595 6457400.556810571)	19172	2	125
POINT (278469.95001046 6457491.186430197)	19173	35	80
POINT (278342.4104559626 6457504.614801366)	19174	18	50
POINT (278445.5915490772 6457629.105524385)	19175	42	280
POINT (278479.0268025957 6457839.721125774)	19176	52	70
POINT (278123.7911341863 6457763.449664934)	19177	6	350
POINT (277979.1848416288 6457978.961063796)	19178	8	155
POINT (277972.4344843468 6458224.204578079)	19179	15	195
POINT (279535.0578194265 6457712.149854178)	19182	15	205
POINT (279678.5612093375 6458006.006946407)	19183	4	150
POINT (276106.1080433255 6458297.05645564)	19453	53	295
POINT (276388.440394374 6458322.323583554)	19456	48	145
POINT (276689.9587521343 6458257.14497566)	19457	11	255
POINT (276925.9803399605 6458065.168647842)	19459	8	115
POINT (277013.5458598563 6457782.972103389)	19460	8	170
POINT (276913.3182916318 6457567.229197606)	19461	5	105
POINT (276869.6741502447 6457474.863396788)	19462	7	175
POINT (276849.5041522681 6457355.276211074)	19463	6	100
POINT (276728.6374688689 6457379.036578201)	19464	76	345
POINT (276673.9103274453 6457629.223095508)	19465	25	235
POINT (276810.1868825768 6457696.435544258)	19466	16	115
POINT (276609.4007743016 6457825.169034302)	19467	11	225
POINT (276645.4265805333 6458023.757975828)	19468	16	255
POINT (276256.3580562522 6457860.59361733)	19469	59	140
POINT (276266.9067395671 6458129.958874986)	19470	43	195
POINT (276035.1237584631 6457856.409034762)	19471	67	275
POINT (275845.8187518138 6457840.495612829)	19472	17	125
POINT (275778.0057408116 6457927.756957458)	19473	23	305
POINT (275645.4996529047 6457960.124676719)	19474	17	265
POINT (275341.3019254479 6458018.113398697)	19475	49	200
POINT (275373.8387911589 6457854.196956689)	19476	25	215
POINT (275267.4777784316 6457802.599977909)	19477	38	215
POINT (275318.9866303299 6457738.945616009)	19478	22	135
POINT (275265.9580922816 6457351.93509212)	19479	59	260
POINT (275089.6769992285 6457547.742303204)	19480	86	265
POINT (275041.1442618269 6457497.74916775)	19481	87	90
POINT (275071.0119116976 6457742.69375504)	19482	82	95
