X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
507931.9249898075,7487456.325337411,Fault_7344,-1030,212,246.2088692215952
507311.14512703585,7488899.463777109,Fault_7344,-3452,627.232765192403,246.2088692215952
507016.4763015983,7489625.1289154515,Fault_7344,-3094,558,246.2088692215952
506660.9972076281,7490610.560900903,Fault_7344,-3649,603,246.2088692215952
506384.3111530017,7491394.374742726,Fault_7344,-3500,566,246.2088692215952
501090.12927267025,7489327.418439149,Fault_5997,-575,120,225.62623879056713
501505.6076559384,7488928.795282732,Fault_5997,-820,171,225.62623879056713
502082.4655551628,7488344.293492451,Fault_5997,-853,177,225.62623879056713
502631.52899368526,7487690.489815144,Fault_5997,-594,124,225.62623879056713
504072.24601026095,7489413.65447712,Fault_6205,2941,611,55.57057700068529
503703.323535983,7489924.999933738,Fault_6205,2668,554,55.57057700068529
503272.798651398,7490932.010113233,Fault_6205,2937,539,55.57057700068529
502934.950582653,7492278.782060793,Fault_6205,3843,580,55.57057700068529
