X,Y,Z,formation
508555.7245734783,7486286.997082645,452.9918991198485,Fault_7344
507038.6210941,7489590.28111874,516.9685528137954,Fault_7344
506417.25780508,7491318.28142618,562.4640736590915,Fault_7344
506019.22999676,7492550.77985109,644.3414694708567,Fault_7344
504894.1120782,7494629.76913794,563.4408879057155,Fault_7344
504507.2766991516,7495469.90680081,573.358704908952,Fault_7344
499497.8827818414,7490848.620475542,576.7237923970847,Fault_5997
502590.86900248,7487736.7019943,527.8713663681128,Fault_5997
502957.37167387,7487244.71029663,496.0956481193587,Fault_5997
503960.8639612486,7486286.997082645,458.86976031798065,Fault_5997
506573.8072893639,7486286.997082645,460.9698825835571,Fault_6205
505446.80992926,7487848.25201484,491.6787503816442,Fault_6205
504410.59929229,7489048.73999597,623.5162347865175,Fault_6205
504386.09658106,7489075.18218316,631.939058055902,Fault_6205
502625.14676018,7493151.24504545,555.5366617298799,Fault_6205
500279.2087871885,7495469.90680081,519.1045511946054,Fault_6205
