X,Y,Z,formation
507038.6210941,7489590.28111873,516.9685528147492,Marra_Mamba_Iron_Formation
506905.26002662,7488305.27082818,598.0173592792272,Marra_Mamba_Iron_Formation
506291.85144415,7487691.26054469,617.6652557231648,Marra_Mamba_Iron_Formation
505977.85163023,7487190.25057223,558.5808935218108,Marra_Mamba_Iron_Formation
504112.21031119,7489370.73858194,625.6371453323696,Marra_Mamba_Iron_Formation
503595.2984016,7489004.22849945,623.7068643065993,Marra_Mamba_Iron_Formation
503429.14074833,7488826.7205776,620.9880014677601,Marra_Mamba_Iron_Formation
502731.03095053,7487793.21716282,555.549634402789,Marra_Mamba_Iron_Formation
503751.93059466,7489830.72821949,596.3651092571697,Wittenoom_Formation
503451.52138667,7489520.23037148,583.2436788781231,Wittenoom_Formation
502602.71089084,7488882.20944812,564.1022175124625,Wittenoom_Formation
502238.71233937,7488559.70991936,565.1930838244324,Wittenoom_Formation
507038.6210941,7489590.28111873,516.9685528147492,Wittenoom_Formation
506104.34892895,7488379.74796715,539.4010927180559,Wittenoom_Formation
505803.82967147,7488037.25008973,536.2566358615011,Wittenoom_Formation
505574.35081432,7487924.24029783,515.7667149741687,Wittenoom_Formation
509119.281440983,7494628.705166831,633.8116480126653,Marra_Mamba_Iron_Formation
507948.29800811,7493645.8073712,693.6415626300944,Marra_Mamba_Iron_Formation
507054.66880202,7492956.79096984,622.1826971722802,Marra_Mamba_Iron_Formation
506364.62965554,7492286.27280427,667.3121396131123,Marra_Mamba_Iron_Formation
505081.81917111,7488665.24045119,557.2139977102096,Mount_McRae_Shale_and_Mount_Sylvia_Formation
506212.40951548,7489702.76901109,531.7049522580133,Mount_McRae_Shale_and_Mount_Sylvia_Formation
505177.75958611,7488772.73896696,553.1234086394683,Mount_McRae_Shale_and_Mount_Sylvia_Formation
502957.37167387,7487244.71029663,496.0956481193587,Marra_Mamba_Iron_Formation
502637.98246221,7486947.2101378,571.3165374175369,Marra_Mamba_Iron_Formation
502158.00848868,7486313.19815885,549.4348421239818,Marra_Mamba_Iron_Formation
502590.86900248,7487736.7019943,527.8713663681128,Wittenoom_Formation
501883.76066227,7487479.68946818,516.0838986852681,Wittenoom_Formation
501705.06865975,7487346.70073052,530.4352828574001,Wittenoom_Formation
501185.9980822,7486515.69385012,545.6567450479284,Wittenoom_Formation
499497.8827818414,7492735.507166494,534.9526211998384,Weeli_Wolli_Formation
499701.62931125,7492599.70160313,542.138015089077,Weeli_Wolli_Formation
499629.76038692,7491737.19133755,559.7911154312816,Weeli_Wolli_Formation
504507.2766991475,7495469.90680081,573.3587049085745,Weeli_Wolli_Formation
503730.99944843,7494769.75883886,536.4669498654816,Weeli_Wolli_Formation
501546.79878613,7494516.72860953,593.4761800668001,Weeli_Wolli_Formation
501474.89798491,7494612.73866944,590.7464422112249,Weeli_Wolli_Formation
500532.69861952,7486882.18080314,559.0610492815832,Mount_McRae_Shale_and_Mount_Sylvia_Formation
501434.63013427,7487978.1899042,569.5280680432386,Mount_McRae_Shale_and_Mount_Sylvia_Formation
501198.04160652,7487706.19086264,569.8448985495984,Mount_McRae_Shale_and_Mount_Sylvia_Formation
500648.04987592,7487066.19074518,559.9250506516033,Mount_McRae_Shale_and_Mount_Sylvia_Formation
509119.281440983,7495365.541019974,581.3344556758491,Wittenoom_Formation
507794.30947223,7494390.30871184,602.3374653675744,Wittenoom_Formation
507280.30910084,7494072.30066574,595.7347232101072,Wittenoom_Formation
506203.48034953,7492750.2792031,623.76725913142,Wittenoom_Formation
508107.57430584007,7495469.90680081,604.9098599048414,Mount_McRae_Shale_and_Mount_Sylvia_Formation
507476.13969601,7495026.79869981,602.8111961692914,Mount_McRae_Shale_and_Mount_Sylvia_Formation
505934.22980426,7494121.28031803,579.820006843648,Mount_McRae_Shale_and_Mount_Sylvia_Formation
503311.33127991,7490794.23871237,608.9314649598714,Mount_McRae_Shale_and_Mount_Sylvia_Formation
502547.77896971,7489366.22072721,578.4909620320448,Mount_McRae_Shale_and_Mount_Sylvia_Formation
502464.76170227,7489296.7201959,575.5571019300498,Mount_McRae_Shale_and_Mount_Sylvia_Formation
501916.63960086,7489038.7087013,568.4205308887296,Mount_McRae_Shale_and_Mount_Sylvia_Formation
506417.25780508,7491318.28142618,562.4640736590915,Brockman_Iron_Formation
505796.96690759,7490596.27116559,623.3468443629305,Brockman_Iron_Formation
505793.8315727,7489940.75859599,584.8899897166267,Brockman_Iron_Formation
505486.60981665,7489528.75001091,606.842171915418,Brockman_Iron_Formation
504695.14003789,7488928.23949772,608.5687040477756,Brockman_Iron_Formation
504669.54047863,7488883.729435,599.5457269203206,Brockman_Iron_Formation
501444.34138543,7488982.69962776,684.913495117418,Brockman_Iron_Formation
500484.46052287,7488182.19026322,764.9841571214673,Brockman_Iron_Formation
499922.17970331,7487400.17813625,684.0062704555876,Brockman_Iron_Formation
499631.46820378,7486889.66947759,666.9747937997455,Brockman_Iron_Formation
505306.71858811,7493964.26884435,564.3421285846352,Brockman_Iron_Formation
506009.95999126,7492587.27064645,642.5988362635951,Brockman_Iron_Formation
507235.8874962021,7495469.90680081,753.2082558324097,Brockman_Iron_Formation
506178.92853302,7494708.29140381,598.2319904802268,Brockman_Iron_Formation
505159.38894207,7494252.77716992,565.1348211078697,Brockman_Iron_Formation
503311.33127991,7490794.23871237,608.9314649598714,Brockman_Iron_Formation
502613.67972073,7491186.22224927,617.7543435571465,Brockman_Iron_Formation
502528.04940299,7490569.21972174,644.7987173032876,Brockman_Iron_Formation
501843.09198085,7489618.21107839,666.2784950674314,Brockman_Iron_Formation
501046.93818903,7489361.70017556,709.1322465384278,Brockman_Iron_Formation
506573.8072893572,7486286.997082645,460.96988258364684,Jeerinah_Formation
506356.60067244,7486602.24845381,482.14985883251535,Jeerinah_Formation
506126.81907136,7486431.74095279,470.23610040850747,Jeerinah_Formation
