WKT	objectid	code	group_	min_age_ma	max_age_ma	unitname	rocktype1	rocktype2	descriptn
"POLYGON ((503812.41126831 7489181.22999233, 504022.85945192 7489307.23907812, 504054.84969422 7489339.2294955, 504112.21031119 7489370.73858194, 504410.59929229 7489048.73999596, 504230.8788608 7488917.73004114, 504071.18898192 7488772.23174005, 503873.31048533 7488614.22779404, 503681.56046652 7488418.21804871, 503400.13975258 7488082.21924601, 503297.65900215 7487923.70904285, 503188.5488227 7487707.71905832, 503130.55114263 7487549.21966008, 503040.56923552 7487358.71817461, 503002.14004913 7487295.20895987, 502957.37167387 7487244.71029663, 502590.86900248 7487736.7019943, 502731.03095053 7487793.21716282, 502916.39868018 7487983.21060201, 503121.19949989 7488262.21752744, 503256.12908279 7488547.72192884, 503429.14074833 7488826.7205776, 503595.2984016 7489004.22849945, 503812.41126831 7489181.22999233))"	"15273"	"Jeerinah Formation"	"Fortescue Group"	"2629.0"	"2713.0"	"A-FOj-xs-b"	"sedimentary siliciclastic"	"igneous mafic volcanic"	"Siliciclastic sedimentary rocks  mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks  chert  and dolerite sills"
"POLYGON ((505574.35081432 7487924.24029783, 505803.82967147 7488037.25008973, 505925.05004401 7488125.75144156, 506104.34892895 7488379.74796715, 506232.74972524 7488633.24992889, 506546.74923539 7489140.76871105, 507038.6210941 7489590.28111873, 507346.57968717 7488824.77977648, 507122.77883762 7488571.27041753, 506905.26002662 7488305.27082818, 506726.31023245 7488115.26934919, 506291.85144415 7487691.26054469, 506183.02098253 7487545.24976985, 505977.85163023 7487190.25057223, 505958.53964278 7487139.22942579, 505880.64999487 7487247.25030827, 505446.80992926 7487848.25201483, 505574.35081432 7487924.24029783))"	"15996"	"Marra Mamba Iron Formation"	"Hamersley Group"	"2597.0"	"2629.0"	"A-HAm-cib"	"sedimentary other chemical or biochemical"	"None"	"Chert  banded iron-formation  mudstone  and siltstone; minor carbonate; metamorphosed"
"POLYGON ((502602.71089084 7488882.20944812, 503279.19061943 7489381.2200247, 503451.52138667 7489520.23037148, 503579.29157891 7489634.21813232, 503726.26917126 7489792.74213862, 503751.93059466 7489830.72821949, 504112.21031119 7489370.73858194, 504054.84969422 7489339.2294955, 504022.85945192 7489307.23907812, 503812.41126831 7489181.22999233, 503595.2984016 7489004.22849945, 503429.14074833 7488826.7205776, 503256.12908279 7488547.72192884, 503121.19949989 7488262.21752744, 502916.39868018 7487983.21060201, 502731.03095053 7487793.21716282, 502590.86900248 7487736.7019943, 502021.73814513 7488408.2116702, 502238.71233937 7488559.70991936, 502602.71089084 7488882.20944812))"	"16314"	"Marra Mamba Iron Formation"	"Hamersley Group"	"2597.0"	"2629.0"	"A-HAm-cib"	"sedimentary other chemical or biochemical"	"None"	"Chert  banded iron-formation  mudstone  and siltstone; minor carbonate; metamorphosed"
"POLYGON ((501916.63960086 7489038.7087013, 502012.21958448 7489082.70763763, 502324.39229754 7489195.72098964, 502464.76170227 7489296.7201959, 502547.77896971 7489366.22072721, 502752.46892333 7489613.21849471, 502874.23055253 7489810.21939004, 503150.55110579 7490413.22793987, 503311.33127991 7490794.23871237, 503751.93059466 7489830.72821949, 503726.26917126 7489792.74213862, 503579.29157891 7489634.21813232, 503451.52138667 7489520.23037148, 503279.19061943 7489381.2200247, 502602.71089084 7488882.20944812, 502238.71233937 7488559.70991936, 502021.73814513 7488408.2116702, 501444.34138543 7488982.69962776, 501916.63960086 7489038.7087013))"	"16315"	"Wittenoom Formation"	"Hamersley Group"	"2504.0"	"2597.0"	"A-HAd-kd"	"sedimentary carbonate"	"None"	"Thinly bedded dolomite and dolomitic shale  with minor black chert  shale  banded iron formation and sandstone"
"POLYGON ((504991.99777457 7488493.74014117, 505030.54990333 7488582.73778775, 505081.81917111 7488665.24045119, 505177.75958611 7488772.73896696, 505324.67069937 7488905.74081509, 505477.7713731 7489006.74807176, 505835.18098417 7489278.25132348, 506033.25047864 7489474.74876325, 506212.40951548 7489702.76901109, 506404.491776 7489981.76076394, 506558.43179538 7490254.77032178, 506693.31992489 7490533.76938934, 506862.31020291 7489960.26834379, 507038.6210941 7489590.28111873, 506546.74923539 7489140.76871105, 506232.74972524 7488633.24992889, 506104.34892895 7488379.74796715, 505925.05004401 7488125.75144156, 505803.82967147 7488037.25008973, 505574.35081432 7487924.24029783, 505446.80992926 7487848.25201483, 505191.69053105 7488202.74096686, 504991.99777457 7488493.74014117))"	"15999"	"Wittenoom Formation"	"Hamersley Group"	"2504.0"	"2597.0"	"A-HAd-kd"	"sedimentary carbonate"	"None"	"Thinly bedded dolomite and dolomitic shale  with minor black chert  shale  banded iron formation and sandstone"
"POLYGON ((509119.281440983 7494628.705166831, 509116.73227652 7494626.3217257, 508395.15061606 7493999.82133042, 507948.29800811 7493645.8073712, 507469.66833317 7493298.29985217, 507054.66880202 7492956.79096984, 506696.97811069 7492621.77927305, 506364.62965554 7492286.27280427, 506134.78947897 7492096.27828694, 506019.22999676 7492550.77985108, 506203.48034953 7492750.2792031, 506374.77084562 7492995.28054112, 506619.53933291 7493386.78106396, 506913.19018081 7493802.7907237, 507280.30910084 7494072.30066574, 507794.30947223 7494390.30871184, 508577.48019707 7494781.82181102, 508920.13245391 7494977.81841967, 509066.98970629 7495271.31882404, 509119.281440983 7495365.541019974, 509119.281440983 7494628.705166831))"	"15793"	"Marra Mamba Iron Formation"	"Hamersley Group"	"2597.0"	"2629.0"	"A-HAm-cib"	"sedimentary other chemical or biochemical"	"None"	"Chert  banded iron-formation  mudstone  and siltstone; minor carbonate; metamorphosed"
"POLYGON ((507038.6210941 7489590.28111873, 506862.31020291 7489960.26834379, 507054.24727113 7490207.26900707, 507291.50084998 7490613.28064951, 507547.63229455 7490981.27870389, 507816.09221866 7491272.79098774, 508052.75038178 7491557.79921603, 508589.80175406 7492153.31170648, 508839.05214045 7492412.80955435, 509119.281440983 7492679.821351675, 509119.281440983 7491933.397957923, 508810.10164296 7491668.30061392, 508285.46141483 7491009.29103987, 507754.15975479 7490286.28191042, 507338.75936279 7489862.27927615, 507038.6210941 7489590.28111873))"	"15997"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
"POLYGON ((505081.81917111 7488665.24045119, 505030.54990333 7488582.73778775, 504991.99777457 7488493.74014117, 504662.7901518 7488807.24012085, 504669.54047863 7488883.729435, 504695.14003789 7488928.23949772, 504759.20914322 7489016.7300036, 504867.86822754 7489130.73845488, 504982.70030178 7489206.73974526, 505320.66105554 7489402.24986001, 505486.60981665 7489528.75001091, 505608.08175199 7489655.25945323, 505793.8315727 7489940.75859599, 505839.39940614 7490163.25001158, 505840.15914691 7490328.74849975, 505796.96690759 7490596.27116559, 505810.80922578 7490831.76120874, 505888.17855983 7491060.26969814, 506016.07940574 7491212.2667153, 506149.92126327 7491268.76620525, 506417.25780508 7491318.28142618, 506693.31992489 7490533.76938934, 506558.43179538 7490254.77032178, 506404.491776 7489981.76076394, 506212.40951548 7489702.76901109, 506033.25047864 7489474.74876325, 505835.18098417 7489278.25132348, 505477.7713731 7489006.74807176, 505324.67069937 7488905.74081509, 505177.75958611 7488772.73896696, 505081.81917111 7488665.24045119))"	"15987"	"Mount McRae Shale and Mount Sylvia Formation"	"Hamersley Group"	"2501.0"	"2541.0"	"A-HAu-xsl-ci"	"sedimentary siliciclastic"	"sedimentary other chemical or biochemical"	"Mudstone  siltstone  chert  banded iron-formation  and dolomite; metamorphosed"
"POLYGON ((503607.88239996 7487635.71088509, 503767.97789569 7487863.71778053, 503979.11105685 7488136.22910215, 504183.73047882 7488364.72914012, 504662.7901518 7488807.24012085, 504991.99777457 7488493.74014117, 505191.69053105 7488202.74096686, 504977.17866435 7488054.74011156, 504811.40947671 7487960.22782455, 504671.01006612 7487865.23009077, 504141.81959474 7487581.7211212, 503937.4794835 7487404.72073796, 503777.53796989 7487201.71713134, 503623.45096866 7486897.2185412, 503552.33970429 7486655.70940223, 503360.04894137 7486870.20924173, 503215.78006552 7486753.21122369, 503151.96866192 7486715.20804078, 503049.8107587 7486626.70209353, 502915.62863508 7486493.70915225, 502734.3799084084 7486286.997082645, 502139.6785903703 7486286.997082645, 502158.00848868 7486313.19815885, 502356.59926208 7486617.69826717, 502637.98246221 7486947.2101378, 502957.37167387 7487244.71029663, 503261.26194803 7486956.70812857, 503607.88239996 7487635.71088509))"	"15998"	"Jeerinah Formation"	"Fortescue Group"	"2629.0"	"2713.0"	"A-FOj-xs-b"	"sedimentary siliciclastic"	"igneous mafic volcanic"	"Siliciclastic sedimentary rocks  mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks  chert  and dolerite sills"
"MULTIPOLYGON (((505962.6435093639 7486286.997082645, 506126.81907136 7486431.74095279, 506356.60067244 7486602.24845381, 506573.8072893572 7486286.997082645, 505962.6435093639 7486286.997082645)), ((508142.1930265273 7486286.997082645, 508068.69956995 7486904.77848414, 507962.93946786 7487395.77051125, 507698.85202143 7488020.77955323, 507535.08999106 7488352.76844145, 507579.81012754 7488396.78038913, 507758.35928037 7488497.78037464, 508070.65771035 7488648.79045303, 508274.77063434 7488768.79112523, 508996.32096089 7489388.79049674, 509119.281440983 7489490.195147263, 509119.281440983 7486286.997082645, 508142.1930265273 7486286.997082645)))"	"14311"	"Bunjinah Formation"	"Fortescue Group"	"2715.0"	"2718.0"	"A-FOu-bbo"	"igneous mafic volcanic"	"None"	"Pillowed and massive basaltic flows; basaltic breccia and basaltic volcanic sandstone; minor chert; amygdaloidal basalt flows occur in upper parts of formation; metamorphosed"
"POLYGON ((507589.38962804 7486411.2684065, 507787.98024455 7486709.2688856, 507928.44172565 7486822.76918207, 508068.69956995 7486904.77848414, 508142.1930265273 7486286.997082645, 507532.6699437041 7486286.997082645, 507589.38962804 7486411.2684065))"	"15992"	"Jeerinah Formation"	"Fortescue Group"	"2629.0"	"2713.0"	"A-FOj-xs-b"	"sedimentary siliciclastic"	"igneous mafic volcanic"	"Siliciclastic sedimentary rocks  mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks  chert  and dolerite sills"
"POLYGON ((507962.93946786 7487395.77051125, 508068.69956995 7486904.77848414, 507928.44172565 7486822.76918207, 507787.98024455 7486709.2688856, 507589.38962804 7486411.2684065, 507532.6699437041 7486286.997082645, 507084.7059798266 7486286.997082645, 507124.87951069 7486350.25823107, 507234.73751821 7486718.75975048, 507312.14047588 7486940.77140055, 507395.53939626 7487093.25998581, 507472.29062374 7487181.7719805, 507619.0003522 7487282.77045454, 507752.84969991 7487339.27075544, 507962.93946786 7487395.77051125))"	"15993"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
"POLYGON ((503767.97789569 7487863.71778053, 503607.88239996 7487635.71088509, 503261.26194803 7486956.70812857, 502957.37167387 7487244.71029663, 503002.14004913 7487295.20895987, 503040.56923552 7487358.71817461, 503130.55114263 7487549.21966008, 503188.5488227 7487707.71905832, 503297.65900215 7487923.70904285, 503400.13975258 7488082.21924601, 503681.56046652 7488418.21804871, 503873.31048533 7488614.22779404, 504071.18898192 7488772.23174005, 504230.8788608 7488917.73004114, 504410.59929229 7489048.73999596, 504662.7901518 7488807.24012085, 504183.73047882 7488364.72914012, 503979.11105685 7488136.22910215, 503767.97789569 7487863.71778053))"	"15988"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
